algorithm_name,env_n,size,best_solution,H,states,time
Genetic Algorithm,58,8,"[3, 6, 0, 7, 4, 1, 5, 2]",0,11859,2.5759
Random,59,8,"[1, 2, 2, 3, 2, 7, 6, 3]",8,3000,0.018
Hill Climbing,59,8,"[1, 2, 2, 3, 2, 7, 6, 3]",0,6,0.0003
Simulated Annealing,59,8,"[1, 2, 2, 3, 2, 7, 6, 3]",0,802,0.007
Genetic Algorithm,59,8,"[3, 0, 4, 7, 5, 2, 6, 1]",0,2211,0.4416
Random,60,8,"[1, 5, 4, 1, 5, 6, 6, 0]",6,3000,0.0181
Hill Climbing,60,8,"[1, 5, 4, 1, 5, 6, 6, 0]",0,403,0.0585
Simulated Annealing,60,8,"[1, 5, 4, 1, 5, 6, 6, 0]",0,659,0.0064
Genetic Algorithm,60,8,"[4, 0, 7, 3, 1, 6, 2, 5]",0,4221,0.8828
Random,61,10,"[6, 6, 0, 4, 8, 7, 6, 4, 7, 5]",10,3000,0.0251
Hill Climbing,61,10,"[6, 6, 0, 4, 8, 7, 6, 4, 7, 5]",8,3000,0.9998
Simulated Annealing,61,10,"[6, 6, 0, 4, 8, 7, 6, 4, 7, 5]",1,1147,0.0136
Genetic Algorithm,61,10,"[4, 7, 9, 2, 5, 7, 0, 3, 8, 6]",1,603000,183.4496
Random,62,10,"[2, 9, 1, 4, 1, 7, 7, 7, 6, 3]",10,3000,0.0251
Hill Climbing,62,10,"[2, 9, 1, 4, 1, 7, 7, 7, 6, 3]",0,106,0.0107
Simulated Annealing,62,10,"[2, 9, 1, 4, 1, 7, 7, 7, 6, 3]",1,1147,0.0134
Genetic Algorithm,62,10,"[3, 9, 0, 5, 7, 2, 6, 8, 1, 4]",1,603000,183.6765
Random,63,10,"[0, 1, 1, 5, 2, 4, 4, 9, 3, 9]",11,3000,0.025
Hill Climbing,63,10,"[0, 1, 1, 5, 2, 4, 4, 9, 3, 9]",0,2807,0.9331
Simulated Annealing,63,10,"[0, 1, 1, 5, 2, 4, 4, 9, 3, 9]",0,850,0.0106
Genetic Algorithm,63,10,"[4, 6, 8, 2, 7, 3, 0, 9, 1, 5]",0,10653,3.1616
